pid,color_id,color_value,dw_insert_timestamp
200TAJT03,200TAJT03,Natural,2022-01-13 19:33:41.514414
200TAJT03,200TAJT03B,Off White,2022-01-13 19:33:41.514414
200TAJT03,200TAJT03C,Black,2022-01-13 19:33:41.514414
200TAJT03,200TAJT03D,Navy,2022-01-13 19:33:41.514414
200CB01,200CB01,Off White,2022-01-13 19:33:41.514414
200CB01,200CB01C,Navy,2022-01-13 19:33:41.514414
200CB01,200CB01D,Light Gray,2022-01-13 19:33:41.514414
200CB01,200CB01E,Blue,2022-01-13 19:33:41.514414
200CB01,200CB01F,Silver,2022-01-13 19:33:41.514414
200CB01,200CB01G,Light Blue,2022-01-13 19:33:41.514414
200HMMT01A,200HMMT01A,Natural,2022-01-13 19:33:41.514414
200RZBD16A,200RZBD16A,Gray,2022-01-13 19:33:41.514414
200RZBD16A,200RZBD16B,Dark Gray,2022-01-13 19:33:41.514414
200RZBD16A,200RZBD16D,Multi,2022-01-13 19:33:41.514414
200RZBD16A,200RZBD16E,Light Multi,2022-01-13 19:33:41.514414
200RZBD16A,200RZBD16F,Blue,2022-01-13 19:33:41.514414
200RZBD16A,200RZBD16G,Black,2022-01-13 19:33:41.514414
200RZBD16A,200RZBD16H,Pink,2022-01-13 19:33:41.514414
200RZBD16A,200RZBD16J,Dark Blue,2022-01-13 19:33:41.514414
200RZBD16A,200RZBD16L,Black And White,2022-01-13 19:33:41.514414
200RZBD16A,200RZBD16M,White And Black,2022-01-13 19:33:41.514414
200RZBD16A,200RZBD16N,Light Blue,2022-01-13 19:33:41.514414
200TAJT03,200TAJT03,Natural,2022-01-13 19:33:41.514414
200TAJT03,200TAJT03B,Off White,2022-01-13 19:33:41.514414
200TAJT03,200TAJT03C,Black,2022-01-13 19:33:41.514414
200TAJT03,200TAJT03D,Navy,2022-01-13 19:33:41.514414
200BDSM04A,200BDSM04A,Gray,2022-01-13 19:33:41.514414
200BDSM04A,200BDSM04B,Dark Gray,2022-01-13 19:33:41.514414
200BDSM04A,200BDSM04C,Blue Gray,2022-01-13 19:33:41.514414
200BDSM04A,200BDSM04D,Charcoal,2022-01-13 19:33:41.514414
200BDSM08A,200BDSM08A,Gray,2022-01-13 19:33:41.514414
200BDSM08A,200BDSM08B,Beige,2022-01-13 19:33:41.514414
200BDSM08A,200BDSM08C,Pink,2022-01-13 19:33:41.514414
200GRWS04A,200GRWS04A,Beige,2022-01-13 19:33:41.514414
200RZBD21A,200RZAB02B,Brown,2022-01-13 19:33:41.514414
200RZBD21A,200RZBD21A,Ivory,2022-01-13 19:33:41.514414
200RZBD21A,200RZBD21B,Light Blue,2022-01-13 19:33:41.514414
200RZBD21A,200RZBD21C,Silver,2022-01-13 19:33:41.514414
200RZBD21A,200RZBD21D,Pink,2022-01-13 19:33:41.514414
200HJFV01A,200HJFV01C,Salt and Pepper,2022-01-13 19:33:41.514414
200HJFV01A,200HJFV01D,Light Blue,2022-01-13 19:33:41.514414
200HJFV01A,200HJFV01E,Ivory,2022-01-13 19:33:41.514414
200HJFV01A,200HJFV01F,Charcoal,2022-01-13 19:33:41.514414
200HJFV01A,200HJFV01G,Tan,2022-01-13 19:33:41.514414
200HJFV01A,200HJFV01H,Pink,2022-01-13 19:33:41.514414
200HJFV01A,200HJFV01I,Aqua,2022-01-13 19:33:41.514414
200HJFV01A,200HJFV01C,Salt and Pepper,2022-01-13 19:33:41.514414
200HJFV01A,200HJFV01D,Light Blue,2022-01-13 19:33:41.514414
200HJFV01A,200HJFV01E,Ivory,2022-01-13 19:33:41.514414
200HJFV01A,200HJFV01F,Charcoal,2022-01-13 19:33:41.514414
200HJFV01A,200HJFV01G,Tan,2022-01-13 19:33:41.514414
200HJFV01A,200HJFV01H,Pink,2022-01-13 19:33:41.514414
200HJFV01A,200HJFV01I,Aqua,2022-01-13 19:33:41.514414
200KKEL04A,200KKEL04A,Ivory,2022-01-13 19:33:41.514414
200KKEL04A,200KKEL04B,Gray,2022-01-13 19:33:41.514414
200KKEL04A,200KKEL04C,Blue,2022-01-13 19:33:41.514414
200OZEZ04A,200OZEZ04A,White,2022-01-13 19:33:41.514414
200OZEZ04A,200OZEZ04B,Gray,2022-01-13 19:33:41.514414
200OZEZ04A,200OZEZ04C,Pink,2022-01-13 19:33:41.514414
200OZEZ04A,200OZEZ04D,Blue,2022-01-13 19:33:41.514414
200GCDI09A,200GCDI09A,Off White,2022-01-13 19:33:41.514414
200GCDI09A,200GCDI09B,Gray,2022-01-13 19:33:41.514414
