pid,product_type_id,name,url,origin,thickness,material,weave,weave_feature,color,brand,imageName,imageType,internalName,category,min_price,max_price,availability,aggregate,clearance,long_description,shopbyroom,dw_insert_timestamp
200TAJT03,RUG,Jute Braided,/rugsusa/rugs/rugs-usa-jute-braided/Natural/200TAJT03-P.html,India,1/4 inch,100% Jute,,Hand Woven,Natural,Rugs USA,200TAJT03,roomImage,rugs-usa-jute-braided,Maui,0,0,48 Hours,True,N,"This handmade 100% jute rug is a stylish and eco-friendly floor covering made from renewable material. Bring a warm, neutral look to any room, whether you seek a nautical rug, a boho rug, or anything in-between. This sophisticated floor piece can seamlessly integrate with any existing decor. This rug will be the perfect finishing touch to your living area. Choose from a wide array of colors and sizes. Make the most of your time at home with our pet-friendly and easy to clean area rugs.","Bedroom, Dining Room, Living Room, Hallway, Office, Kitchen, Entryway",2022-01-13 19:33:41.513542
200CB01,RUG,Veronica Wool Braided,/rugsusa/rugs/rugs-usa-veronica-wool-braided/Off-White/200CB01-P.html,India,1/2 inch,"80% Wool, 20% Cotton",,Braided,Off White,Rugs USA,200CB01,roomImage,rugs-usa-veronica-wool-braided,Textures,0,0,48 Hours,True,N,"Handcrafted in the style of a chunky knit sweater, this felted cotton and wool rug provides delightful softness underfoot. The familiar knitted V pattern is rendered either in solid colors or variegated tones, providing a cozy look wherever you might want one. Designed to transform any space into your new oasis. Elevate your living space with our pet-friendly and easy to clean rugs. ","Bedroom, Living Room",2022-01-13 19:33:41.513542
200HMMT01A,RUG,Handwoven Chaste,/rugsusa/rugs/rugs-usa-handwoven-chaste/Natural/200HMMT01A-P.html,India,1/4 inch,"60% Jute, 40% Cotton",,Hand Loomed,Natural,Rugs USA,200HMMT01A,roomImage,rugs-usa-handwoven-chaste,Fawna,0,0,48 Hours,True,N,"Handmade with luxuriously soft jute and cotton yarn, this chic collection is a lavish choice for any space. Great for high-traffic areas that need a bit more style! With an incredible texture under foot, this area rug is bound to compliment its surroundings and transform your abode. Comes in a variety of shapes and sizes. Make the most of your time at home with our easy to clean area rugs.","Bedroom, Dining Room, Living Room, Hallway, Office, Kitchen, Entryway",2022-01-13 19:33:41.513542
200RZBD16A,RUG,Moroccan Trellis,/rugsusa/rugs/rugs-usa-moroccan-trellis/Gray/200RZBD16A-P.html,Turkey,1/2 inch,100% Polypropylene,,Machine Made,Gray,Rugs USA,200RZBD16A,roomImage,rugs-usa-moroccan-trellis,Bosphorus,0,0,48 Hours,True,N,"<p class=""h4"">Named ""The Rug"" by The New York Times, our best-selling Moroccan Trellis is well-deserving of all of its accolades and popularity! <a target=""_blank"" href=""/blog/moroccan-trellis-rug/""><span class=""rugs-text--underline"">Read about</span></a> why this design has become a well-loved staple in so many American households; its ""unique, goes-with-anything design captures the unique spirit of a handcrafted textile, but is also discreet enough to blend in with the furniture and take the punishment of kids and pets."" Made from powerloomed synthetic materials, it's available in an incredible range of colors and sizes, making it a smart, great-looking addition to your home.</p>","Bedroom, Dining Room, Living Room, Hallway, Office, Kitchen, Entryway",2022-01-13 19:33:41.513542
200TAJT03,RUG,Jute Braided,/rugsusa/rugs/rugs-usa-jute-braided/Off-White/200TAJT03-P.html,India,1/4 inch,100% Jute,,Hand Woven,Natural,Rugs USA,200TAJT03,roomImage,rugs-usa-jute-braided,Maui,0,0,48 Hours,True,N,"This handmade 100% jute rug is a stylish and eco-friendly floor covering made from renewable material. Bring a warm, neutral look to any room, whether you seek a nautical rug, a boho rug, or anything in-between. This sophisticated floor piece can seamlessly integrate with any existing decor. This rug will be the perfect finishing touch to your living area. Choose from a wide array of colors and sizes. Make the most of your time at home with our pet-friendly and easy to clean area rugs.","Bedroom, Dining Room, Living Room, Hallway, Office, Kitchen, Entryway",2022-01-13 19:33:41.513542
200BDSM04A,RUG,Broken Lattice,/rugsusa/rugs/rugs-usa-broken-lattice/Gray/200BDSM04A-P.html,Turkey,1/2 inch,100% Polypropylene,,Machine Made,Gray,Rugs USA,200BDSM04A,s,rugs-usa-broken-lattice,Granite,0,0,48 Hours,True,N,"Add a dash of a contemporary look when you bring out this machine made, polypropylene rug, which is sure to make a fashionable statement to any space. Sturdy enough to stand the test of time, this solid and striped area rug elevates the ambiance of any room it is placed in. This regal rug will be the perfect finishing touch for your living space. Opt for the best choice with our pet-friendly and easy to clean area rugs. ","Bedroom, Dining Room, Living Room, Hallway, Office, Kitchen, Entryway",2022-01-13 19:33:41.513542
200BDSM08A,RUG,Ruby Distressed Mist,/rugsusa/rugs/rugs-usa-ruby-distressed-mist/Gray/200BDSM08A-P.html,Turkey,1/2 inch,100% Polypropylene,,Machine Made,Gray,Rugs USA,200BDSM08A,s,rugs-usa-ruby-distressed-mist,Granite,0,0,48 Hours,True,N,"Bring the look of calming mist into your space! This durable, powerloomed floor covering, evocative of vintage rugs, has just enough color and texture to enrich any room and pairs beautifully with any décor -- traditional, modern, or a bit of everything! With an incredibly soft texture underfoot, the look and feel of this floor piece will elevate its surroundings to new heights. Choose from a wide array of shapes. Make the most of your time at home with our pet-friendly and easy to clean area rugs.","Bedroom, Dining Room, Living Room, Hallway, Office, Kitchen, Entryway",2022-01-13 19:33:41.513542
200GRWS04A,RUG,Fading Herati Medallion,/rugsusa/rugs/rugs-usa-fading-herati-medallion/Beige/200GRWS04A-P.html,Turkey,1/2 inch,100% Polypropylene,,Machine Made,Beige,Rugs USA,200GRWS04A,roomImage,rugs-usa-fading-herati-medallion,Yesteryear,0,0,48 Hours,True,N,"Enhance your home with a contemporary flair with a sleek and inviting floor piece. Crafted of durable synthetic fibers, this detailed area rug is perfect for high traffic areas of your home. Combine a luxurious look and elevated style for your warm abode. Find just the right color and size from our wide assortment. Make the most of your time at home with our pet-friendly and easy to clean area rugs.","Bedroom, Dining Room, Living Room, Hallway, Kitchen",2022-01-13 19:33:41.513542
200RZBD21A,RUG,Floral Ornament,/rugsusa/rugs/rugs-usa-floral-ornament/Ivory/200RZBD21A-P.html,Turkey,,100% Polypropylene,,Machine Made,Brown,Rugs USA,200RZBD21A,osNew/roomImage,rugs-usa-floral-ornament,Bosphorus,0,0,48 Hours,True,N,"An ornamental boho rug boasts an intricate floral pattern, making it an eye-catching centerpiece for any room. Made from powerloomed synthetics, it holds up beautifully to foot traffic. Choose from a wide array of colors and sizes. Combine a luxurious look and elevated style for your warm abode. Make the most of your time at home with our pet-friendly and easy to clean area rugs.","Bedroom, Dining Room, Living Room, Hallway, Office, Kitchen, Entryway",2022-01-13 19:33:41.513542
200HJFV01A,RUG,Solid Braided Indoor/Outdoor,/rugsusa/rugs/rugs-usa-solid-braided-indooroutdoor/Tan/200HJFV01A-P.html,China/India,,100% Polypropylene,,Braided,Salt and Pepper,Rugs USA,200HJFV01A,roomImage,rugs-usa-solid-braided-indooroutdoor,Jubilee,0,0,48 Hours,True,N,"An outdoor rug braided from durable materials is a beautiful and neutral floor covering, a perfect choice whether you need a rug to be party-ready or you're looking for a serene oasis on your floor. Choose from a wide array of colors and sizes that are guaranteed to please. Whether you decide to use these indoor/outdoor, they will surely transport you into a serene oasis. Make the most of your time at home with our pet-friendly and easy to clean area rugs.","Bedroom, Dining Room, Living Room, Patio / Outdoor, Hallway, Office, Kitchen, Entryway",2022-01-13 19:33:41.513542
